stop_id	stop_name
5493	SHORELINE COMMUNITY COLLEGE (5493)
16990	COLLEGE WAY N & N 103RD ST (16990)
46477	RENTON TRANSIT CENTER BAY #2 (46477)
85800	N 205TH ST & 1ST AVE NE (85800)
82334	NE 190TH ST & BALLINGER WAY NE (82334)
74970	3RD AVE NW & NW 198TH ST (74970)
82320	BALLINGER WAY NE & 37TH AVE NE (82320)
16770	N 200TH ST & BURKE AVE N (16770)
9670	NE 125TH ST & LAKE CITY WAY NE (9670)
75756	N 175TH ST & MERIDIAN AVE N (75756)
16570	MERIDIAN AVE N & N 145TH ST (16570)
76810	BOTHELL WAY NE & NE 165TH ST (76810)
76002	131ST AVE NE & NE 175TH ST (76002)
3600	S JACKSON ST & 12TH AVE S (3600)
81330	HORIZON VIEW & 45TH AVE NE (81330)
880	VIRGINIA ST & 6TH AVE (880)
74785	RICHMOND BEACH DR NW & NW 196TH PL (74785)
76021	E RIVERSIDE DR & 102ND AVE NE (76021)
69021	BELLEVUE TRANSIT CENTER BAY #10 (69021)
81436	NE 144TH ST & 123RD AVE NE (81436)
70313	BRICKYARD RD NE & WOODCREST DR NE (70313)
67654	BELLEVUE TRANSIT CENTER BAY #7 (67654)
68803	BROWN AVE NE & NE RICHARDSON ST (68803)
71960	REDMOND TRANSIT CENTER BAY #5 (71960)
71985	NE OLD REDMOND RD & NE 70TH ST (71985)
66830	164TH AVE SE & SE 2ND ST (66830)
66810	164TH AVE NE & NE 2ND ST (66810)
1050	OLIVE WAY & 8TH AVE (1050)
64561	ISSAQUAH HIGHLANDS PARK & RIDE BAY #4 (64561)
720	4TH AVE & STEWART ST (720)
64593	ISSAQUAH TRANSIT CENTER BAY #4 (64593)
64305	FACTORY OUTLET MALL & MOUNT SI BLVD (64305)
64557	NW GILMAN BLVD & 4TH AVE NW (64557)
64585	ISSAQUAH TRANSIT CENTER BAY #3 (64585)
64143	76TH AVE SE & SE 24TH ST (64143)
62370	MERCER VILLAGE SHOPPING CENTER & SE 68TH ST (62370)
70390	MARKET ST & 2ND ST W (70390)
71333	OVERLAKE TRANSIT CENTER BAY #3 (71333)
84266	BELLEVUE WAY SE & 112TH AVE SE (84266)
73077	NE 40TH ST & NE BEL-RED RD (73077)
71830	AVONDALE PL NE & AVONDALE RD NE (71830)
73430	NE REDMOND WAY & WEST LAKE SAMMAMISH PKWY NE (73430)
71890	AVONDALE RD NE & 180TH AVE NE (71890)
71880	AVONDALE RD NE & NE 95TH ST (71880)
72280	NE 68TH ST & 110TH AVE NE (72280)
64140	N MERCER WAY & 80TH AVE SE (64140)
64527	SE CLARK ST & 2ND AVE SE (64527)
42576	TWIN LAKES PARK & RIDE BAY #2 (42576)
29247	NE PACIFIC ST & MONTLAKE BLVD NE BAY #1 (29247)
83752	FED WAY/320TH STREET P&R BAY #2 (83752)
80433	FEDERAL WAY TC BAY #3 (80433)
59282	SE 320TH ST & 122ND AVE SE (59282)
42358	21ST AVE SW & SW 344TH ST (42358)
57773	AUBURN TRANSIT CENTER BAY #1 (57773)
57600	41ST ST SE & A ST SE (57600)
52301	BURIEN TRANSIT CENTER BAY #1 (52301)
57774	AUBURN TRANSIT CENTER BAY #2 (57774)
57464	64TH AVE S & S 226TH ST (57464)
42577	TWIN LAKES PARK & RIDE BAY #1 (42577)
83711	SW 320TH ST & 3RD PL SW (83711)
61368	SOUTH FEDERAL WAY PARK & RIDE (61368)
1010	HOWELL ST & MINOR AVE (1010)
57457	KENT SOUNDER STATION BAY #7 (57457)
46465	RENTON TRANSIT CENTER BAY #8 (46465)
59902	S 7TH ST & RAINIER AVE S (59902)
55938	SOUTH RENTON PARK & RIDE BAY #2 (55938)
74721	KINGSGATE PARK & RIDE (74721)
76527	NE 181ST ST & 73RD AVE NE (76527)
