col	n_null	n_blank	n_nan	n	min	max	avg
ceffv	0	0	0	27878358	0.35	440.4	2.6012
passenger_count	0	0	0	27878358	1.0	50.0	1.0014
stop_lat	0	7321571	0	20556787	47.0719340007572	48.2700069764358	47.6047
stop_lon	0	7321571	0	20556787	-122.64007658509	-121.600966270177	-122.3070
trip_id	0	9018933	0	18859425	11001.0	42703347.0	36142809.2949
