device_location_id	device_location_descr
2147491690	
2147490836	
150994947	Seattle King Street
2147487999	
2147509448	
2147499467	
2147491708	
2147492738	
2147488025	
2147490771	
2147493265	
2147488046	
2147484840	
2147490700	
2147490713	
2147488196	
2147486415	
2147491853	
2147486453	
2147493467	
2147493256	
2147484779	
2147488010	
2147488047	
2147498750	
2147494462	
2147488202	
2147487360	
2147491688	
2147489746	
2147491850	
2147492852	
2147491716	
2147494458	
2147499469	
2147501499	
2147486253	
2147488003	
2147487305	
2147486407	
2147491655	
2147487156	
2147488162	
2147492730	
2147575152	
2147490554	
2147491706	
2147493233	
2147493195	
2147490865	
2147488154	
2147488209	
2147490884	
2147490895	
2147500756	
2147490729	
2147486425	
2147490745	
2147490598	
2147491918	
2147489859	
2147490755	
2147525161	
2147499460	
2147500759	
2147498754	
2147498753	
2147487004	
2147487969	
2147490487	
2147487322	
2147491857	
2147488039	
2147490889	
2147493298	
2147493280	
2147500453	
2147501505	
2147501501	
2147493451	
2147490735	
2147492739	
2147575370	
2147493210	
2147500755	
2147511753	
2147490476	
2147488057	
2147490603	
2147489663	
2147490950	
2147490905	
2147504517	
2147486371	
2147490965	
2147490860	
2147494767	
2147493243	
2147499461	
2147490768	
2147490826	
2147490655	
2147487308	
2147491908	
2147491717	
2147508068	
2147486458	
2147507460	
2147575367	
2147575358	
2147493275	
2147486276	
2147490719	
2147489876	
2147490480	
2147493375	
2147490647	
2147491049	
2147489682	
2147491662	
2147490821	
2147491723	
2147486322	
2147487375	
2147491872	
2147486353	
2147488207	
2147490972	
2147491945	
2147489649	
2147491869	
2147489855	
2147489744	
2147490656	
2147504510	
2147494452	
2147498752	
2147493231	
2147490737	
2147493270	
2147487985	
2147489648	
2147490746	
2147488044	
2147493370	
2147489699	
2147487307	
2147490899	
2147490967	
2147486419	
2147498751	
2147511756	
2147575366	
2147498748	
2147491673	
2147508065	
2147490578	
2147493358	
2147490595	
2147491889	
2147490682	
2147490661	
2147492952	
2147487366	
2147490868	
2147491899	
2147488018	
2147486397	
2147500757	
2147484150	
2147492859	
2147489698	
2147490528	
2147487956	
2147486969	
2147492763	
2147486267	
2147494769	
2147499468	
2147509450	
2147487317	
2147488056	
2147494469	
2147494460	
2147487337	
2147494751	
2147662289	
2147488151	
2147487355	
2147490512	
2147487374	
2147490696	
2147491939	
2147487335	
2147508048	
2147493300	
2147493294	
2147488208	
2147487336	
2147487264	
2147499454	
2147575356	
2147491862	
2147487397	
2147491895	
2147490715	
2147486378	
2147490871	
2147487271	
2147490602	
2147508059	
2147508067	
2147491749	
2147490466	
2147491947	
2147494768	
2147499455	
2147491922	
2147486377	
2147490720	
2147509053	
2147493207	
2147490781	
2147508058	
2147491669	
2147491818	
2147490515	
2147498760	
2147490748	
2147486354	
2147486250	
2147484152	
2147489849	
2147500765	
2147488156	
2147493199	
2147494470	
2147491719	
2147486305	
2147493281	
2147491932	
2147486401	
2147501509	
2147493242	
2147490846	
2147486395	
2147575149	
2147499464	
2147489874	
2147489731	
2147500764	
2147490714	
2147490952	
2147494761	
2147488157	
2147508049	
2147493272	
2147493455	
2147490730	
2147492868	
2147491684	
2147487388	
2147511751	
2147498761	
2147486373	
2147487955	
2147490763	
2147488189	
2147497259	
2147493276	
4211091568	Capitol Hill Station
2147508056	
2147501507	
2147490678	
2147488053	
2147493273	
2147489720	
2147489873	
2147491879	
4177535849	Broadway/E Denny NB
2147500763	
2147494464	
2147494461	
2147486106	
2147490489	
2147485730	
2147494770	
2147491670	
2147489656	
2147507472	
2147493296	
2147487369	
2147491874	
2147490695	
2147486358	
2147491703	
2147488030	
2147487964	
2147499457	
2147491846	
2147490901	
2147492854	
2147486363	
2147493382	
2147488177	
2147497255	
2147491692	
2147493238	
2147490890	
2147486329	
2147491722	
2147499451	
2147493278	
2147486356	
2147483838	
2147494754	
2147493385	
2147490529	
2147487383	
2147489861	
2147483850	
2147504511	
2147490897	
2147493241	
2147500760	
2147487304	
2147490840	
2147486301	
2147490859	
2147491909	
2147487327	
2147487986	
2147487259	
2147489668	
2147501503	
2147488016	
2147487948	
2147498755	
2147487404	
2147490863	
2147509451	
2147490968	
2147489713	
2147488168	
2147490722	
2147511752	
2147490577	
2147486404	
2147493361	
2147491876	
2147487318	
2147500767	
2147511750	
2147489697	
2147497249	
2147488163	
2147491729	
2147511449	
2147489718	
2147507465	
2147501448	
2147488013	
2147490888	
2147525163	
2147489705	
2147490721	
2147490478	
2147525153	
2147487814	
2147486324	
2147498758	
2147491900	
2147497248	
2147489741	
2147486411	
2147497250	
2147500455	
2147492765	
2147504505	
2147491859	
2147493384	
2147487348	
2147493301	
2147486292	
2147490628	
2147490600	
2147487997	
2147507462	
2147490652	
2147489654	
2147500762	
2147499452	
2147504519	
2147486392	
2147490812	
2147490736	
2147491686	
2147498766	
2147490633	
2147490702	
2147493221	
2147489701	
2147490759	
2147486412	
2147490798	
2147489666	
2147491663	
2147500770	
2147490907	
2147575361	
2147490727	
2147489757	
2147494759	
2147488051	
2147487992	
2147487315	
2147490767	
2147490629	
2147490855	
2147491935	
2147494765	
2147500769	
2147498756	
2147490803	
2147491691	
2147486443	
2147509452	
2147490569	
2147487293	
2147545049	
2147489884	
2147488015	
2147490631	
2147511452	
2147484163	
2147493371	
2147483867	
2147489650	
2147493462	
2147490761	
2147490852	
2147509058	
2147486338	
2147487995	
2147486399	
2147488206	
2147511755	
2147490681	
2147490530	
2147491944	
2147487952	
2147483763	
2147488176	
2147487984	
2147501458	
2147489850	
2147486418	
2147493369	
2147492949	
2147487386	
2147493253	
2147498763	
2147487368	
2147511757	
2147490534	
2147509456	
2147490957	
2147492956	
2147507452	
2147486265	
2147491654	
2147486297	
2147488038	
2147486908	
2147486352	
2147487338	
2147488211	
2147486380	
2147490710	
2147487974	
2147493206	
2147511455	
2147492767	
2147488024	
2147489848	
2147493179	
2147509462	
2147489867	
2147491940	
2147491050	
2147491866	
2147509457	
2147486272	
2147493255	
2147490584	
2147489665	
2147500772	
2147498749	
2147497251	
2147486444	
2147486445	
2147490576	
2147489756	
2147487349	
2147511759	
2147488179	
2147507461	
2147490571	
2147511453	
2147490608	
